ROWNO,LEGACY_CODE_NO,SPOT_NM,SPOT_STD_CODE,INFO_CREAT_INSTT_NM,CL_MIDDLE_NM,CL_SMALL_NM,DO_NM,CTY_NM,ADRES,ADMCODE,CRDNT_X,CRDNT_Y,ABL_AT,ABL_DE,DAY_AVG,CHARGE,INS_DATE,DEL_YN,OFFICE,OFFICE_TEL,BUILDING_NO,LOC_JIBUN,COMMT,YYYY,PERIOD,INSP_CHECK,UN_INSP_DESC,ACCEPT_YN,SUIT,UNSUIT,ITEM_GENBACLOW,ITEM_GENBACMID,ITEM_TOTBAC,ITEM_BAC,ITEM_FESTR,ITEM_BRANFUNGUS,ITEM_GRGUNGUS,ITEM_SALMOL,ITEM_SEGEL,ITEM_SULFUNGUS,ITEM_YERSINIA,ITEM_PB,ITEM_F,ITEM_GAS,ITEM_SE,ITEM_HG,ITEM_CN,ITEM_CR6,ITEM_NO3AM,ITEM_NO3N,ITEM_CD,ITEM_BORON,ITEM_BRO3,ITEM_PHENOL,ITEM_DIAZN,ITEM_PARAT,ITEM_PENITRO,ITEM_CARBARYL,ITEM_TCET,ITEM_TECE,ITEM_TCE,ITEM_DCM,ITEM_BENZENE,ITEM_TOLUENE,ITEM_ETILBEN,ITEM_XYLENE,ITEM_DCE,ITEM_CCL4,ITEM_DBCP,ITEM_C4H8O2,ITEM_GRADIENT,ITEM_KMN,ITEM_SMELL,ITEM_COLOR,ITEM_CU,ITEM_ABS,ITEM_PH,ITEM_ZN,ITEM_CL,ITEM_FE,ITEM_MN,ITEM_MUDDY,ITEM_SO42,ITEM_AL,ITEM_URAN,INSP_RST,FAIL_DESC,SAMP_DATE
1,PUB_3362,잣절지하수공동시설,11530E060000003,서울,,,서울특별시,구로구,서울특별시 구로구 개봉동 2-61,1153010700,,,N,,150,서울시담당자,,N,,,,,,2017,2/4,검사,,적합,143,0,58.0,,불검출,,불검출,,,,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,1.9,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,54.0,불검출,불검출,불검출,불검출,불검출,6.4,0.0050,6.3,불검출,불검출,0.0,11.0,불검출,2.0E-4,,,2017-04-25
2,PUB_3360,잣절,11530E060000001,서울,,,서울특별시,구로구,서울특별시 구로구 개봉동 2-61,1153010700,,,N,,250,서울시담당자,,N,,,,,,2017,2/4,미검사,수원고갈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-01
3,PUB_3363,개봉3약수터,11530E060000004,서울,,,서울특별시,구로구,서울특별시 구로구 개봉동 53-3,1153010700,,,N,,80,서울시담당자,,N,,,,,,2017,2/4,검사,,부적합,139,4,1.0,,불검출,,불검출,,,,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,1.8,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,0.0030,89.0,0.6,불검출,불검출,불검출,불검출,7.4,0.0040,26.8,불검출,불검출,2.64,19.0,불검출,0.0016,탁도(2.64),,2017-04-25
4,PUB_3364,오남,11530E060000005,서울,,,서울특별시,구로구,서울특별시 구로구 오류동 42-29,1153010800,,,N,,80,서울시담당자,,N,,,,,,2017,2/4,검사,,적합,143,0,16.0,,불검출,,불검출,,,,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,1.8,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,54.0,불검출,불검출,불검출,불검출,불검출,6.3,0.0050,6.6,불검출,불검출,0.0,11.0,불검출,2.0E-4,,,2017-04-25
5,PUB_3365,궁동,11530E060000006,서울,,,서울특별시,구로구,서울특별시 구로구 궁동 10-49,1153010900,,,N,,80,서울시 담당자,,N,,,,,,2017,2/4,검사,,적합,143,0,0.0,,불검출,,불검출,,,,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,72.0,불검출,불검출,불검출,불검출,불검출,8.2,0.017,6.4,불검출,불검출,0.0,24.0,불검출,4.0E-4,,,2017-04-25
6,PUB_3361,항동,11530E060000002,서울,,,서울특별시,구로구,서울특별시 구로구 항동 31-1,1153011200,,,N,,200,서울시담당자,,N,,,,,,2017,2/4,검사,,부적합,139,4,22.0,,검출,불검출,,,,,,,,,,,,,,,0.04,4.5,,,,,,,,,,,,,,,,,,,,,,0.632,,,,,,,,,,,,,,총대장균군(검출),,2017-06-30
7,PUB_3362,잣절지하수공동시설,11530E060000003,서울,,,서울특별시,구로구,서울특별시 구로구 개봉동 2-61,1153010700,,,N,,150,서울시담당자,,N,,,,,,2017,2/4,검사,,부적합,139,4,0.0,,검출,불검출,,,,,,,,,,,,,,,0.04,2.3,,,,,,,,,,,,,,,,,,,,,,0.632,,,,,,,,,,,,,,총대장균군(검출),,2017-06-30
8,PUB_2518,냉천약수터,43800E060000002,충북,,,충청북도,단양군,충청북도 단양군 단성면 장회리21-7,4380036027,,,N,,65,충청북도담당자,19950101,N,환경위생과,043-420-2662,,,,2017,8월,검사,,부적합,14,8,,3,검출,,검출,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,16,0.3,,,2,,6.9,0.005,2.5,,,0.23,4,,총대장균군(검출) 분원성대장균군(검출),주변환경정리 자외선살균기 점검,2017-08-31
9,PUB_2518,냉천약수터,43800E060000002,충북,,,충청북도,단양군,충청북도 단양군 단성면 장회리21-7,4380036027,,,N,,65,충청북도담당자,19950101,N,환경위생과,043-420-2662,,,,2017,9월,검사,,적합,22,0,,0,,,,,,,,,,,,0.008,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,28,0.9,,,1,,6.7,0.009,10.4,,,0.34,7,,,,2017-09-28
10,PUB_2519,평동약수터,43800E060000003,충북,,,충청북도,단양군,충청북도 단양군 매포읍 103-4,4380025300,,,N,,100,충청북도담당자,19950912,N,환경위생과,043-420-2662,,,,2017,7월,미검사,안심등급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
11,PUB_2519,평동약수터,43800E060000003,충북,,,충청북도,단양군,충청북도 단양군 매포읍 103-4,4380025300,,,N,,100,충청북도담당자,19950912,N,환경위생과,043-420-2662,,,,2017,8월,검사,,적합,22,0,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,189,,,,1,,7.8,0.01,3.1,,0.006,0.11,12,,,,2017-08-31
12,PUB_2519,평동약수터,43800E060000003,충북,,,충청북도,단양군,충청북도 단양군 매포읍 103-4,4380025300,,,N,,100,충청북도담당자,19950912,N,환경위생과,043-420-2662,,,,2017,9월,미검사,안심등급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-01
13,PUB_2522,각원사약수,44131E060000001,충남,,,충청남도,천안시동남구,충청남도 천안시동남구 98-83,4413100000,,,N,,550,충청남도담당자,19990329,N,하수과,041-521-3144,,,,2017,8월,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,0.4,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,2017-08-24
14,PUB_2523,흑성산약수,44131E060000002,충남,,,충청남도,천안시동남구,충청남도 천안시동남구 31,4413100000,,,N,,100,충청남도담당자,19990329,N,하수과,041-521-3144,,,,2017,8월,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,1.2,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,2017-08-21
