ROWNO,SITE_ID,SITE_NAME,MSR_DATE,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100
121878,S01001,가평,2012-07-01,,,,,,2,,,,,,,,,,,,,,,,,,,,,1.764,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,6.9,94,8.8,11.9,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
122652,S03104,(구)공주,2012-07-01,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,246,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,6.9,283,3.7,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
121880,S01003,경안천,2012-07-01,,,,,,3.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,23.2,7.3,193,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121881,S01004,구리,2012-07-01,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7.4,178,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121882,S01005,여주,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121883,S01006,원주,2012-07-01,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,7.3,157,6.3,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,
121884,S01007,평창강,2012-07-01,,23.2,8,198,7.8,1.4,0,,,,,,,,,,,,,,,,,,,,2.473,0.005,,,,,,,,,,23.2,8,198,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121885,S01009,한탄강,2012-07-01,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,376,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,7.1,174,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121886,S01010,서상,2012-07-01,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,1.283,0.01,,,,,,,,,,19.8,7.5,95,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,7.5,95,7.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
121887,S01011,강천,2012-07-01,,,,,,2.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,24,6.7,173,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121888,S01012,의암호,2012-07-01,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,1.173,0.008,,,,,,,,,,22.3,8.2,94,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121889,S01014,충주,2012-07-01,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,2.825,0.03,2.4,,,,,,,,,14,7.3,197,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121890,S01015,인제,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121891,S01016,미산,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121892,S01017,포천,2012-07-01,,,,,,4.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,7.1,255,7.8,82.4,,,,,,,,,,,0,,,,,,,,,,,,,,,,
121893,S01018,단양,2012-07-01,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,1.491,0.025,,,,,,,,,,23.4,8,273,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121894,S01019,화천,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121895,S01020,능서,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121896,S01021,달천,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121897,S02001,성서,2012-07-01,,,,,,6.5,,,,,,0,0,0,0,7.3,1.1,0,0,0,0,1.8,0,0,4.5,0,,,,,,,,,,,,25.2,6.7,660,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.006,0.018,,,,,,,,,,,,,,,,,,,,,,,
121898,S02002,고령,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121899,S02003,왜관,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121900,S02004,강창,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122653,S04001,주암호,2012-07-01,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,0.813,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,7.8,69,8.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
122654,S04002,나주,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122655,S04003,서창교,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122656,S04004,옥정호,2012-07-01,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,2.151,0.019,16.8,,,,,,,,,23,7.3,155,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
