,ROWNO,PT_NO,PT_NM,ADDR,ORG_NM,WMYR,WMOD,WMWK,LON_DGR,LON_MIN,LON_SEC,LAT_DGR,LAT_MIN,LAT_SEC,WMCYMD,WMDEP,ITEM_LVL,ITEM_AMNT,ITEM_TEMP,ITEM_PH,ITEM_DOC,ITEM_BOD,ITEM_COD,ITEM_SS,ITEM_TCOLI,ITEM_TN,ITEM_TP,ITEM_CD,ITEM_CN,ITEM_PB,ITEM_CR6,ITEM_AS,ITEM_HG,ITEM_CU,ITEM_ABS,ITEM_PCB,ITEM_OP,ITEM_MN,ITEM_TRANS,ITEM_CLOA,ITEM_CL,ITEM_ZN,ITEM_CR,ITEM_FE,ITEM_PHENOL,ITEM_NHEX,ITEM_EC,ITEM_TCE,ITEM_PCE,ITEM_NO3N,ITEM_NH3N,ITEM_ECOLI,ITEM_POP,ITEM_DTN,ITEM_DTP,ITEM_FL,ITEM_COL,ITEM_ALGOL,ITEM_CCL4,ITEM_DCETH,ITEM_DCM,ITEM_BENZENE,ITEM_CHCL3,ITEM_TOC,ITEM_DEHP,ITEM_ANTIMON,ITEM_DIOX,ITEM_HCHO,ITEM_HCB,ITEM_NI,ITEM_BA,ITEM_SE
0,1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,11,3회차,127,28,36,36,22,,2021.11.15,,,,        17.2,         7.4,         7.4,         0.6,         4.4,         3.4,         14,         1.200,         0.007,,,,,,,,,,,,,        12.1,,,,,         0.000,,       132,,,         0.928,         0.019,         4,         0.002,         1.195,         0.006,,,,,,,,,         2.4,,,,,,,,
1,2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,11,4회차,127,28,36,36,22,,2021.11.22,,,,        16.0,         7.5,         8.9,         0.6,         4.6,         2.1,,         1.213,         0.010,,,,,,,,,,,,,         7.7,,,,,,,       134,,,         0.929,         0.020,,         0.003,         1.193,         0.007,,,,,,,,,         2.5,,,,,,,,
2,3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,11,5회차,127,28,36,36,22,,2021.11.29,,,,        14.3,         7.7,         9.2,         0.8,         4.0,         1.6,         17,         1.223,         0.005,,,,,,,,,,,,,         5.9,,,,,         0.000,,       136,,,         0.955,         0.015,         0,         0.002,         1.218,         0.004,,,,,,,,,         2.3,,,,,,,,
3,4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,11,2회차,127,28,36,36,22,,2021.11.08,,,,        18.6,         7.6,         8.4,         0.9,         4.5,         4.1,         20,         1.315,         0.007,,,,,,,,,,,,,        17.4,,,,,         0.000,,       132,,,         0.861,         0.018,         6,         0.002,         1.218,         0.005,,,,,,,,,         2.4,,,,,,,,
4,5,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,11,1회차,127,28,36,36,22,,2021.11.01,,,,        19.5,         7.5,         7.9,         0.9,         4.5,         3.1,         11,         1.244,         0.009,         0.000,         0.00,         0.00,         0.00,         0.000,         0.0000,,         0.0,,,,,        12.9,,,,,         0.000,,       132,,,         0.945,         0.017,         7,         0.003,         1.193,         0.007,,,,,,,,,         2.6,,         0.0000,,,,,,
5,1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,10,1회차,127,28,36,36,22,,2021.10.05,,,,        23.4,         7.8,         6.6,         0.9,         4.8,         2.8,          4,         1.367,         0.016,         0.000,         0.00,         0.00,         0.00,         0.000,         0.0000,,         0.0,,,,,         8.7,,,,,         0.000,,       126,,,         1.103,         0.019,         0,         0.007,         1.332,         0.012,,,,,,,,,         2.9,         0.0000,         0.0000,,,,,,
6,2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,10,3회차,127,28,36,36,22,,2021.10.18,,,,        21.7,         7.5,         8.2,         1.0,         4.9,         3.4,         26,         1.170,         0.009,,,,,,,,,,,,,        14.9,,,,,         0.000,,       130,,,         0.881,         0.021,        19,         0.002,         1.158,         0.004,,,,,,,,,         2.8,,,,,,,,
7,3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,10,2회차,127,28,36,36,22,,2021.10.12,,,,        23.0,         7.5,         6.1,         0.9,         4.6,         2.4,          8,         1.330,         0.013,,,,,,,,,,,,,        13.4,,,,,         0.000,,       129,,,         1.023,         0.019,         4,         0.003,         1.312,         0.008,,,,,,,,,         3.2,,,,,,,,
8,4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,10,4회차,127,28,36,36,22,,2021.10.25,,,,        20.4,         7.5,         7.8,         0.8,         4.8,         2.4,         12,         1.163,         0.007,,,,,,,,,,,,,         9.1,,,,,         0.000,,       132,,,         0.921,         0.020,         8,         0.002,         1.144,         0.005,,,,,,,,,         2.6,,,,,,,,
9,1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,09,3회차,127,28,36,36,22,,2021.09.27,,,,        23.5,         8.3,         7.5,         1.1,         5.4,         4.2,          9,         1.266,         0.022,,,,,,,,,,,,,        23.1,,,,,         0.000,,       126,,,         1.028,         0.017,         5,         0.014,         1.210,         0.017,,,,,,,,,         3.1,,,,,,,,
10,2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,09,1회차,127,28,36,36,22,,2021.09.06,,,,        24.2,         8.1,         6.3,         1.0,         5.2,         2.8,         33,         1.279,         0.021,         0.000,         0.00,         0.00,         0.00,         0.000,         0.0000,,         0.0,,,,,        10.9,,,,,         0.000,,       132,         0.000,         0.000,         0.990,         0.017,        15,         0.013,         1.258,         0.016,,,,         0.0000,         0.000,         0.0000,         0.0000,         0.0000,         2.7,,         0.0000,         0.000,         0.000,         0.000,,,
11,3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,09,2회차,127,28,36,36,22,,2021.09.13,,,,        24.2,         7.9,         7.2,         1.2,         5.0,         2.2,         16,         1.354,         0.022,,,,,,,,,,,,,        12.0,,,,,         0.000,,       129,,,         1.078,         0.020,        11,         0.012,         1.348,         0.017,,,,,,,,,         3.0,,,,,,,,
12,1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,08,1회차,127,28,36,36,22,,2021.08.02,,,,        25.3,         9.9,         4.8,         1.9,         6.6,         3.5,          7,         1.306,         0.018,         0.000,         0.00,         0.00,         0.00,         0.000,         0.0000,,         0.0,,,,,        28.4,,,,,         0.000,,       149,,,         0.454,         0.026,         1,         0.004,         1.250,         0.010,,,,,,,,,         3.6,,         0.0000,,,,,,
13,2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,08,3회차,127,28,36,36,22,,2021.08.17,,,,        26.7,         8.8,         5.0,         0.9,         5.5,         3.2,          3,         1.126,         0.015,,,,,,,,,,,,,         8.2,,,,,         0.000,,       148,,,         0.851,         0.043,         0,         0.002,         1.098,         0.008,,,,,,,,,         2.9,,,,,,,,
14,3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,08,4회차,127,28,36,36,22,,2021.08.23,,,,        25.8,         8.3,         4.4,         0.8,         4.6,         2.9,         24,         1.163,         0.017,,,,,,,,,,,,,         7.1,,,,,         0.000,,       147,,,         0.833,         0.059,         2,         0.004,         1.143,         0.009,,,,,,,,,         3.1,,,,,,,,
15,4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,08,2회차,127,28,36,36,22,,2021.08.09,,,,        27.5,        10.9,         6.6,         1.1,         6.4,         3.4,          3,         1.203,         0.013,,,,,,,,,,,,,        10.4,,,,,         0.000,,       149,,,         0.848,         0.032,         1,         0.003,         1.152,         0.007,,,,,,,,,         3.5,,,,,,,,
16,5,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,08,5회차,127,28,36,36,22,,2021.08.30,,,,        25.2,         8.0,         5.4,         0.6,         4.9,         3.6,         56,         1.233,         0.017,,,,,,,,,,,,,        10.6,,,,,         0.000,,       140,,,         0.755,         0.027,        31,         0.007,         1.220,         0.009,,,,,,,,,         2.7,,,,,,,,
17,1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2021,07,4회차,127,28,36,36,22,,2021.07.26,,,,        24.9,        10.0,         5.2,         0.9,         6.0,         3.8,          3,         1.351,         0.020,,,,,,,,,,,,,        14.9,,,,,         0.000,,       149,,,         1.037,         0.021,         0,         0.008,         1.322,         0.013,,,,,,,,,         3.2,,,,,,,,
